ts_code,period,start,end,observations,total_return,cagr,max_drawdown,median_amount,name,matched_index_name,list_date
510300.SH,3Y,2023-08-25,2026-08-24,725,0.3102619016756878,0.09432460775058815,-0.16933459895586156,3833240.598,华泰柏瑞沪深300ETF,沪深300指数,20120528.0
510300.SH,5Y,2021-08-25,2026-08-24,1210,0.028888551592782363,0.0057160043176789355,-0.3487710362490346,2979530.766,华泰柏瑞沪深300ETF,沪深300指数,20120528.0
510300.SH,10Y,2016-08-26,2026-08-24,2425,0.638662166149166,0.05066347237017488,-0.42155347080635786,1874167.101,华泰柏瑞沪深300ETF,沪深300指数,20120528.0
510410.SH,1Y,2025-08-22,2026-08-24,242,0.365318711446196,0.36329296371963826,-0.2599156118143461,23643.992,博时上证自然资源ETF,上证自然资源指数,20120511.0
510410.SH,3Y,2023-08-25,2026-08-24,725,0.8564771668219944,0.22920565252701675,-0.2599156118143461,15669.175,博时上证自然资源ETF,上证自然资源指数,20120511.0
510410.SH,5Y,2021-08-25,2026-08-24,1210,0.7865470852017937,0.12314910629108655,-0.3111111111111111,18820.2465,博时上证自然资源ETF,上证自然资源指数,20120511.0
510410.SH,10Y,2016-08-26,2026-08-24,2424,1.920821114369501,0.11322353636525828,-0.41149943630214203,9926.164499999999,博时上证自然资源ETF,上证自然资源指数,20120511.0
510500.SH,1Y,2025-08-22,2026-08-24,242,0.1479973519568567,0.14724207050995175,-0.18775886594181246,2884212.2305,南方中证500ETF,中证小盘500指数,20130315.0
510500.SH,3Y,2023-08-25,2026-08-24,725,0.4417847635737733,0.12980395111042764,-0.23601752021563338,1842188.941,南方中证500ETF,中证小盘500指数,20130315.0
510500.SH,5Y,2021-08-25,2026-08-24,1210,0.16996058744121756,0.03191419085618308,-0.3947213062817094,1553831.466,南方中证500ETF,中证小盘500指数,20130315.0
510500.SH,10Y,2016-08-26,2026-08-24,2425,0.39938513416639143,0.03419806605019504,-0.3947213062817094,1170127.566,南方中证500ETF,中证小盘500指数,20130315.0
510630.SH,1Y,2025-08-22,2026-08-24,242,-0.16115702479338834,-0.1604538150878998,-0.2637913741223671,30127.155,华夏上证主要消费ETF,上证主要消费行业指数,20130508.0
510630.SH,3Y,2023-08-25,2026-08-24,725,-0.22666666666666668,-0.08216751854914284,-0.32968036529680356,21137.795,华夏上证主要消费ETF,上证主要消费行业指数,20130508.0
510630.SH,5Y,2021-08-25,2026-08-24,1210,-0.3560666137985725,-0.08432363957274525,-0.5083724045545881,14912.406500000001,华夏上证主要消费ETF,上证主要消费行业指数,20130508.0
510630.SH,10Y,2016-08-26,2026-08-24,2424,1.034688578680203,0.0736702628044954,-0.5694237373737374,9079.8555,华夏上证主要消费ETF,上证主要消费行业指数,20130508.0
510660.SH,1Y,2025-08-22,2026-08-24,242,-0.07247465264739006,-0.07214184254385414,-0.26585365853658527,4128.956,华夏上证医药卫生ETF,上证医药卫生行业指数,20130508.0
510660.SH,3Y,2023-08-25,2026-08-24,725,0.0555555555555558,0.018198359394435926,-0.29126984126984135,2886.482,华夏上证医药卫生ETF,上证医药卫生行业指数,20130508.0
510660.SH,5Y,2021-08-25,2026-08-24,1210,-0.25445215816480526,-0.057073949322379414,-0.483068017366136,2960.8514999999998,华夏上证医药卫生ETF,上证医药卫生行业指数,20130508.0
510660.SH,10Y,2016-08-26,2026-08-24,2425,0.6101694915254239,0.04882088946356222,-0.549899193548387,2297.788,华夏上证医药卫生ETF,上证医药卫生行业指数,20130508.0
510880.SH,1Y,2025-08-22,2026-08-24,242,0.10666792728413155,0.10613321065734005,-0.1375332741792369,515546.122,华泰柏瑞上证红利ETF,上证红利指数,20070118.0
510880.SH,3Y,2023-08-25,2026-08-24,725,0.3092365862347022,0.09403889150599132,-0.14056831922611857,412547.985,华泰柏瑞上证红利ETF,上证红利指数,20070118.0
510880.SH,5Y,2021-08-25,2026-08-24,1210,0.4465497700836012,0.07668494283549898,-0.19668065559779024,329989.966,华泰柏瑞上证红利ETF,上证红利指数,20070118.0
510880.SH,10Y,2016-08-26,2026-08-24,2425,1.020031021938283,0.07289375855559221,-0.2340296699969726,175456.696,华泰柏瑞上证红利ETF,上证红利指数,20070118.0
512010.SH,1Y,2025-08-22,2026-08-24,242,-0.1132075471698113,-0.11269936245809553,-0.29824561403508765,528959.35,易方达沪深300医药卫生ETF,沪深300医药卫生指数,20131028.0
512010.SH,3Y,2023-08-25,2026-08-24,725,-0.0806845965770171,-0.0276711523093518,-0.3101123595505618,511078.704,易方达沪深300医药卫生ETF,沪深300医药卫生指数,20131028.0
512010.SH,5Y,2021-08-25,2026-08-24,1210,-0.4566473988439306,-0.114925028190076,-0.5589080459770115,500062.1415,易方达沪深300医药卫生ETF,沪深300医药卫生指数,20131028.0
512010.SH,10Y,2016-08-26,2026-08-24,2423,0.139968944099379,0.013195375288482136,-0.663248595505618,238906.316,易方达沪深300医药卫生ETF,沪深300医药卫生指数,20131028.0
512070.SH,1Y,2025-08-22,2026-08-24,242,-0.16242038216560506,-0.1617122068311836,-0.2535211267605634,507499.7205,易方达沪深300非银行金融ETF,沪深300非银行金融指数,20140718.0
512070.SH,3Y,2023-08-25,2026-08-24,725,0.17761194029850746,0.05604788403548633,-0.26617179215270415,260158.548,易方达沪深300非银行金融ETF,沪深300非银行金融指数,20140718.0
512070.SH,5Y,2021-08-25,2026-08-24,1209,0.07174004576659043,0.013962780242395834,-0.3410076857386848,191023.028,易方达沪深300非银行金融ETF,沪深300非银行金融指数,20140718.0
512070.SH,10Y,2016-08-26,2026-08-24,2424,0.3831966922622563,0.032994582192593436,-0.4462289199856476,94412.78349999999,易方达沪深300非银行金融ETF,沪深300非银行金融指数,20140718.0
512120.SH,1Y,2025-08-22,2026-08-24,242,-0.0821643286573146,-0.0817890157234672,-0.2626641651031896,10509.5555,华安中证细分医药ETF,中证细分医药产业主题指数,20140106.0
512120.SH,3Y,2023-08-25,2026-08-24,725,0.01327433628318575,0.004408367213421194,-0.29376257545271633,11078.658,华安中证细分医药ETF,中证细分医药产业主题指数,20140106.0
512120.SH,5Y,2021-08-25,2026-08-24,1209,-0.34580184586986606,-0.08142077799141667,-0.5002528518859246,12337.403,华安中证细分医药ETF,中证细分医药产业主题指数,20140106.0
512120.SH,10Y,2016-08-26,2026-08-24,2402,0.035534989043097154,0.003500322607683959,-0.6007165380374863,6383.4,华安中证细分医药ETF,中证细分医药产业主题指数,20140106.0
512220.SH,1Y,2025-08-22,2026-08-24,242,0.5810293492131009,0.5775796967449298,-0.3544425254269814,16003.3385,景顺长城中证科技传媒通信150ETF,中证科技传媒通信150指数,20140819.0
512220.SH,3Y,2023-08-25,2026-08-24,725,1.639914772727273,0.38237611755553647,-0.3544425254269815,6136.51,景顺长城中证科技传媒通信150ETF,中证科技传媒通信150指数,20140819.0
512220.SH,5Y,2021-08-25,2026-08-24,1210,1.027823240589198,0.15198832621388347,-0.4156657963446475,5963.3845,景顺长城中证科技传媒通信150ETF,中证科技传媒通信150指数,20140819.0
512220.SH,10Y,2016-08-26,2026-08-24,2360,1.5546391752577318,0.09840083926179033,-0.4468610973801286,3830.8495000000003,景顺长城中证科技传媒通信150ETF,中证科技传媒通信150指数,20140819.0
512330.SH,1Y,2025-08-22,2026-08-24,242,0.4306969459671104,0.4282556076114059,-0.3318458417849899,5724.379,南方中证500信息技术指数ETF,中证500信息技术指数,20150720.0
512330.SH,3Y,2023-08-25,2026-08-24,725,1.1985559566787005,0.30054072075146343,-0.3340659340659341,4075.254,南方中证500信息技术指数ETF,中证500信息技术指数,20150720.0
512330.SH,5Y,2021-08-25,2026-08-24,1210,0.6111111111111112,0.10015397412161953,-0.5016447368421053,3468.715,南方中证500信息技术指数ETF,中证500信息技术指数,20150720.0
512330.SH,10Y,2016-08-26,2026-08-24,2425,1.0856164383561642,0.07632966338447367,-0.559593023255814,2990.261,南方中证500信息技术指数ETF,中证500信息技术指数,20150720.0
512660.SH,1Y,2025-08-22,2026-08-24,242,-0.14777169663799827,-0.14712165043659198,-0.3727705112960762,460001.845,国泰中证军工ETF,中证军工指数,20160808.0
512660.SH,3Y,2023-08-25,2026-08-24,725,0.09657947686116719,0.031230729676407387,-0.3727705112960761,366506.918,国泰中证军工ETF,中证军工指数,20160808.0
512660.SH,5Y,2021-08-25,2026-08-24,1210,-0.21185827910339838,-0.04653073146113218,-0.5094850948509485,415893.33400000003,国泰中证军工ETF,中证军工指数,20160808.0
512660.SH,10Y,2016-08-26,2026-08-24,2425,0.07707509881422925,0.007457669019136359,-0.5094850948509485,277735.779,国泰中证军工ETF,中证军工指数,20160808.0
512880.SH,1Y,2025-08-22,2026-08-24,242,-0.20254110612855014,-0.20168001886244968,-0.2596153846153848,2276348.9595,国泰中证全指证券公司ETF,中证全指证券公司指数,20160808.0
512880.SH,3Y,2023-08-25,2026-08-24,725,0.06913827655310611,0.022550082558947304,-0.282258064516129,1448231.854,国泰中证全指证券公司ETF,中证全指证券公司指数,20160808.0
512880.SH,5Y,2021-08-25,2026-08-24,1210,-0.06649168853893273,-0.013676128169315738,-0.4030327214684756,1266599.705,国泰中证全指证券公司ETF,中证全指证券公司指数,20160808.0
512880.SH,10Y,2016-08-26,2026-08-24,2425,0.018129770992366234,0.001799586600906622,-0.45446584938704027,965295.41,国泰中证全指证券公司ETF,中证全指证券公司指数,20160808.0
